common,scientific
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Pacific Loon,Gavia pacifica
Common Loon,Gavia immer
Yellow-billed Loon,Gavia adamsii
Least Grebe,Tachybaptus dominicus
Pied-billed Grebe,Podilymbus podiceps
Horned Grebe,Podiceps auritus
Red-necked Grebe,Podiceps grisegena
Eared Grebe,Podiceps nigricollis
Western Grebe,Aechmophorus occidentalis
Clark's Grebe,Aechmophorus clarkii
Yellow-nosed Albatross,Thalassarche chlororhynchos
Shy Albatross,Thalassarche cauta
Black-browed Albatross,Thalassarche melanophris
Wandering Albatross,Diomedea exulans
Laysan Albatross,Phoebastria immutabilis
Black-footed Albatross,Phoebastria nigripes
Short-tailed Albatross,Phoebastria albatrus
Northern Fulmar,Fulmarus glacialis
Herald Petrel,Pterodroma arminjoniana
Murphy's Petrel,Pterodroma ultima
Mottled Petrel,Pterodroma inexpectata
Black-capped Petrel,Pterodroma hasitata
Cook's Petrel,Pterodroma cookii
Stejneger's Petrel,Pterodroma longirostris
White-chinned Petrel,Procellaria aequinoctialis
Streaked Shearwater,Calonectris leucomelas
Cory's Shearwater,Calonectris diomedea
Pink-footed Shearwater,Puffinus creatopus
Flesh-footed Shearwater,Puffinus carneipes
Greater Shearwater,Puffinus gravis
Wedge-tailed Shearwater,Puffinus pacificus
Buller's Shearwater,Puffinus bulleri
Sooty Shearwater,Puffinus griseus
Short-tailed Shearwater,Puffinus tenuirostris
Manx Shearwater,Puffinus puffinus
Black-vented Shearwater,Puffinus opisthomelas
Audubon's Shearwater,Puffinus lherminieri
Little Shearwater,Puffinus assimilis
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
European Storm-Petrel,Hydrobates pelagicus
Fork-tailed Storm-Petrel,Oceanodroma furcata
Leach's Storm-Petrel,Oceanodroma leucorhoa
Ashy Storm-Petrel,Oceanodroma homochroa
Band-rumped Storm-Petrel,Oceanodroma castro
Wedge-rumped Storm-Petrel,Oceanodroma tethys
Black Storm-Petrel,Oceanodroma melania
Least Storm-Petrel,Oceanodroma microsoma
White-tailed Tropicbird,Phaethon lepturus
Red-billed Tropicbird,Phaethon aethereus
Red-tailed Tropicbird,Phaethon rubricauda
Masked Booby,Sula dactylatra
Blue-footed Booby,Sula nebouxii
Brown Booby,Sula leucogaster
Red-footed Booby,Sula sula
Northern Gannet,Morus bassanus
American White Pelican,Pelecanus erythrorhynchos
Brown Pelican,Pelecanus occidentalis
Brandt's Cormorant,Phalacrocorax penicillatus
Neotropic Cormorant,Phalacrocorax brasilianus
Double-crested Cormorant,Phalacrocorax auritus
Great Cormorant,Phalacrocorax carbo
Red-faced Cormorant,Phalacrocorax urile
Pelagic Cormorant,Phalacrocorax pelagicus
Anhinga,Anhinga anhinga
Magnificent Frigatebird,Fregata magnificens
Great Frigatebird,Fregata minor
Lesser Frigatebird,Fregata ariel
American Bittern,Botaurus lentiginosus
Yellow Bittern,Ixobrychus sinensis
Least Bittern,Ixobrychus exilis
Great Blue Heron,Ardea herodias
Great Egret,Ardea alba
Chinese Egret,Egretta eulophotes
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
Snowy Egret,Egretta thula
Little Blue Heron,Egretta caerulea
Tricolored Heron,Egretta tricolor
Reddish Egret,Egretta rufescens
Cattle Egret,Bubulcus ibis
Green Heron,Butorides virescens
Black-crowned Night-Heron,Nycticorax nycticorax
Yellow-crowned Night-Heron,Nyctanassa violacea
White Ibis,Eudocimus albus
Scarlet Ibis,Eudocimus ruber
Glossy Ibis,Plegadis falcinellus
White-faced Ibis,Plegadis chihi
Roseate Spoonbill,Ajaia ajaja
Jabiru,Jabiru mycteria
Wood Stork,Mycteria americana
Black Vulture,Coragyps atratus
Turkey Vulture,Cathartes aura
California Condor,Gymnogyps californianus
Greater Flamingo,Phoenicopterus ruber
Black-bellied Whistling-Duck,Dendrocygna autumnalis
Fulvous Whistling-Duck,Dendrocygna bicolor
Bean Goose,Anser fabalis
Pink-footed Goose,Anser brachyrhynchus
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Emperor Goose,Chen canagica
Snow Goose,Chen caerulescens
Ross's Goose,Chen rossii
Canada Goose,Branta canadensis
Brant,Branta bernicla
Barnacle Goose,Branta leucopsis
Mute Swan,Cygnus olor
Trumpeter Swan,Cygnus buccinator
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Muscovy Duck,Cairina moschata
Wood Duck,Aix sponsa
Gadwall,Anas strepera
Falcated Duck,Anas falcata
Eurasian Wigeon,Anas penelope
American Wigeon,Anas americana
American Black Duck,Anas rubripes
Mallard,Anas platyrhynchos
Mottled Duck,Anas fulvigula
Spot-billed Duck,Anas poecilorhyncha
Blue-winged Teal,Anas discors
Cinnamon Teal,Anas cyanoptera
Northern Shoveler,Anas clypeata
White-cheeked Pintail,Anas bahamensis
Northern Pintail,Anas acuta
Garganey,Anas querquedula
Baikal Teal,Anas formosa
Green-winged Teal,Anas crecca
Canvasback,Aythya valisineria
Redhead,Aythya americana
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Steller's Eider,Polysticta stelleri
Spectacled Eider,Somateria fischeri
King Eider,Somateria spectabilis
Common Eider,Somateria mollissima
Harlequin Duck,Histrionicus histrionicus
Labrador Duck,Camptorhynchus labradorius
Surf Scoter,Melanitta perspicillata
White-winged Scoter,Melanitta fusca
